X,Y,capacite,couverture,surveillance,lumiere,proprietaire,gestionnaire
2.2698644,48.9035203997162,10.0,False,False,,,
1.8099567,47.7463156999974,6.0,False,False,,,
4.3129123,46.2078654003091,8.0,False,False,,,
2.4444294,48.8505049997294,6.0,False,False,,,
2.9157843,42.7716194005295,,False,False,,,
4.07160906875176,48.2955020077393,8.0,False,False,,,
1.3537692,44.0167943005321,6.0,False,False,,,
2.3235058,48.8412477997317,8.0,False,False,,,
2.3629481,48.8822538997215,42.0,False,False,,,
7.0301346,43.623930100541,,False,False,,,
7.7240659,48.5118552998132,12.0,False,False,,,
6.1204329,48.6966741997675,6.0,False,False,,,
-4.0912242,48.0134713999345,24.0,False,False,,,
0.6886693,47.3957069000769,4.0,False,False,,,
4.8161,45.7680869003769,8.0,False,False,,,
6.1838429,48.6913478997689,8.0,False,False,,,
2.3174256,48.8444191997309,6.0,False,False,,,
2.2474095,48.7139151997633,12.0,False,False,,,
5.7220103,45.1866407004493,6.0,False,False,,,
4.8710572,45.7833903003747,8.0,False,False,,,
5.1639859,48.771436099749,6.0,False,False,,,
6.1486477,45.9174012003551,5.0,False,False,,,
7.7200333,48.5913726997936,4.0,False,False,,,
4.8769764,45.7326339003819,10.0,False,False,,,Grand Lyon
-0.5659237,47.4706532000602,8.0,False,False,,,
2.2525856,48.8985446997175,14.0,False,False,,,
2.2842183,48.8427086997313,4.0,False,False,,Mairie de Paris,
-2.2336958,47.1319417001338,,False,False,,,
7.7040487,48.5973794997921,8.0,False,False,,,
5.7698473,45.1916079004488,16.0,False,False,,,
-3.0730042,47.5716775000375,7.0,False,False,,,
7.7330123,48.5774124997971,4.0,False,False,,,
0.6777445,47.3743761000815,5.0,False,False,,,
4.8274862,45.7682652003769,10.0,False,False,,,Grand Lyon
4.8669872,47.0484945001512,,False,False,,,
2.58022294397414,48.8233905195773,8.0,True,False,,,
0.7079545,47.4730854000597,4.0,False,False,,,
2.0314192,48.7733929997485,12.0,False,False,,,
3.0814918,45.7786956003754,10.0,False,False,,,
2.4866022,48.8119999997389,8.0,False,False,False,,
4.8828146,45.7847552003746,14.0,False,False,,,
6.0315767,46.2408523003035,60.0,True,False,,,
-0.5904548,47.4724362000598,12.0,False,False,,,
4.3646688,48.9554997997034,4.0,False,False,,,
6.1870619,48.6807829997715,5.0,False,False,,,
7.7735189,48.5679487997994,8.0,False,False,,,
-1.57811341119594,47.213843668318,20.0,True,False,,,
2.31319155000328,48.8895558497319,22.0,False,False,,,
2.3539059,48.880124999722,8.0,False,False,,,
2.1477678,48.7257853997603,5.0,False,False,,,
4.8737986,45.7828450003748,28.0,False,False,,,
